,event number,mission number,trajectory number,jump amplitude [m],jump time [s],jump depth [m],normalized jump amplitude [-],normalized jump time [-],normalized cross shore jump location [-],breaking iribarren_number [-],Offshore Hs [m],Offshore Tm [s],linear phase speed at jump depth [m/s],bulk jump speed [m/s],mean jump speed [m/s],median jump speed [m/s],max jump speed [m/s],nrmse
3592,3592,24,17,45.01721842,11.66662,3.684816387,0.820864985,1.675856743,0.869275334,0.115793557,2.163684,6.9615855,6.009259571,3.858634156,3.777249208,3.359210945,7.311693616,0.35926707
3114,3114,20,23,44.960995,9.333296,3.031168476,0.745214826,1.24074547,0.525702133,0.109169979,2.6779573,7.5223293,5.450270733,4.817268734,4.775619147,5.072141033,8.81628826,0.403452256
578,578,69,14,44.84527133,30.999876,0.949394992,0.57186892,3.288945756,0.661786164,0.162591463,1.5692074,9.425475,3.050257518,1.446627442,1.438133317,1.168922953,4.217157929,0.638048101
2663,2663,25,26,44.65619264,15.666604,2.88781168,0.789340656,2.194496685,0.809602519,0.117715552,2.1597586,7.139042,5.319826545,2.850406676,2.84430126,2.916056407,5.462437493,0.52549501
3670,3670,24,29,44.60240262,6.999972,3.580384109,0.81330104,1.005514046,0.848508106,0.115793557,2.163684,6.9615855,5.923492573,6.37179729,6.357454652,5.844201209,10.68102761,0.723448217
160,160,9,1,44.59070199,19.16659,1.458162339,0.928318214,3.053997997,0.879333171,0.146936094,1.1769178,6.2759013,3.780210434,2.326480714,2.316228524,2.292165612,4.992426439,0.433633144
3534,3534,24,9,44.45502808,20.166586,3.216909331,0.810613743,2.896838084,0.706819374,0.115793557,2.163684,6.9615855,5.61477617,2.204390375,2.222541435,2.111497041,4.962348623,0.596471781
159,159,9,1,44.43423986,18.666592,1.460594089,0.925060883,2.974328484,1.005614624,0.146936094,1.1769178,6.2759013,3.783361214,2.380415228,2.359519224,2.316531654,4.992426439,0.498618886
3173,3173,20,35,44.42892991,18.166594,3.606197327,0.736396008,2.415022432,0.628918001,0.109169979,2.6779573,7.5223293,5.944807298,2.445638952,2.445158241,2.577709161,5.493405335,0.47545579
1883,1883,80,8,44.31572285,11.166622,3.288686912,0.651169708,1.339786812,0.658394892,0.129385016,2.150559,8.334626,5.6770707,3.968588069,4.001869323,3.529051651,7.340125623,0.351260721
3026,3026,20,4,44.28197515,6.333308,1.191388177,0.733960278,0.841934426,0.364749784,0.109169979,2.6779573,7.5223293,3.416958316,6.991918781,6.643794502,6.619140476,10.04411301,0.584231214
3023,3023,20,4,44.09001533,19.666588,3.175715646,0.730778602,2.614427954,0.551479985,0.109169979,2.6779573,7.5223293,5.578710723,2.241874154,2.237468196,2.808956459,3.635329682,0.71277373
801,801,72,17,43.97224006,6.499974,1.269815222,0.551933599,0.680007846,0.69110332,0.165174783,1.5447562,9.558675,3.527632233,6.764987069,6.597827134,6.569017321,10.62363402,0.566457096
3022,3022,20,4,43.92797729,20.666584,3.172789453,0.728092871,2.747364968,0.594279778,0.109169979,2.6779573,7.5223293,5.57613994,2.125555791,2.123586682,2.753431322,3.635329682,0.712199402
2,2,78,0,43.87947966,8.999964,3.039458521,0.644759605,1.079828177,0.573827983,0.129385016,2.150559,8.334626,5.457718709,4.875517242,4.699470511,4.763395534,8.525768638,0.509449263
